client_siren,salaries_distincts_2020,salaries_distincts_2021
343190948,4,
343225413,2,
343229753,6,
343230660,3,
343236857,1,
343251674,3,
343255535,2,
343274825,2,
343331914,1,
343341988,1,
343404968,2,
343452371,10,
343480109,10,
343540399,2,
343644894,3,
343694493,3,
343696746,3,
343756904,11,
343859781,6,
343885653,1,
343913737,4,
343927273,2,
343929097,2,
343931812,1,
343943866,2,
343946711,8,
343949806,1,
343958138,2,
343983540,116,
344032743,1,
344047097,2,
344073820,27,
344087663,1,
344128012,1,
344130570,1,
344144639,2,
344175666,5,
344190004,6,
344248414,1,
344253091,17,
344314976,4,
344355540,1,
344369061,2,
344421482,4,
344457759,2,
344489455,2,
344496252,1,
344549431,3,
344581038,1,
344591938,23,
344649033,11,
344655014,1,
344738976,4,
344777057,3,
344782776,2,
344811823,57,
344854997,5,
344860580,9,
344891809,3,
344962246,4,
344978630,3,
345002281,1,
345041099,12,
345076087,3,
345087159,3,
345159214,1,
345161947,4,
345173280,4,
345261689,1,
345327399,4,
345345243,1,
345362404,2,
345820070,2,
347449951,1,
347518490,2,
347523730,2,
347540130,1,
347570350,6,
347601361,1,
347608002,11,
347647695,12,
347678278,2,
347700635,3,
347727950,10,
347784316,9,
347787640,10,
347806002,4,
347808115,2,
347880502,2,
347902066,5,
347906950,1,
347935694,11,
347941346,6,
347947756,3,
347951238,3,
348003922,2,
348006446,3,
348032632,3,
348040726,2,
348196031,2,
348206079,29,
348207713,2,
348297656,4,
348312869,5,
348326547,2,
348348343,24,
348390428,40,
348422288,3,
348473950,1,
348481813,1,
348522236,32,
348557323,1,
348603366,2,
348604224,7,
348607417,9,
348614587,1,
348623562,2,
348629858,1,
348649393,5,
348674169,1,
348681941,2,
348709478,25,
348762006,142,
348779901,16,
348805193,27,
348825316,3,
348870692,15,
348908476,4,
348909458,9,
348938663,10,
348961426,3,
348983974,5,
348989385,2,
348991241,14,
349025809,4,
349152496,1,
349166215,1,
349166561,1,
349190108,4,
349204818,24,
349247130,4,
349259564,4,
349295998,1,
349300293,2,
349305318,1,
349318865,2,
349325571,1,
349335869,1,
349371419,1,
349386821,11,
