numero_de_dossier,type_de_dossier,etat_du_dossier,accord_signe,date_de_jugement,date_d_enregistrement,situation_juridique,siret,nombre_de_ruptures_de_contrats_en_debut_de_procedure,nombre_de_ruptures_de_contrats_en_fin_de_procedure
14627,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,03/03/2016,In bonis,44015608100166,82,78
14627,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,03/03/2016,In bonis,44015608100174,18,18
14627,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,03/03/2016,In bonis,44015608100059,14,10
17880,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,30/06/2016,In bonis,72285028600112,0,
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300015,0,0
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300023,0,1
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300031,0,1
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300049,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300056,110,28
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300064,0,1
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300080,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300098,0,1
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300106,0,0
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300114,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300122,0,0
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300130,0,1
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300148,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300155,0,4
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300163,0,4
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300171,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300189,0,0
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300197,0,5
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300205,0,6
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300213,0,10
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300221,0,3
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300239,0,16
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300247,0,6
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300254,0,2
1681,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,15/10/2014,Plan de RJ avec cession  (L.642-5),75315009300312,0,11
23688,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,03/10/2018,In bonis,43515105500025,103,102
16046,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Oui,,09/03/2016,In bonis,34540404000197,22,20
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100183,37,31
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100050,33,31
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100126,16,16
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100258,33,32
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100134,9,9
26079,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/07/2019,Liquidation sans poursuite d activite (L.641-4),39530164100100,57,55
26330,Autre type de dossier,en_cours_procedure,Non,,07/08/2019,Plan de sauvegarde avec cession (L.626-1),52502519300075,10,
19606,"PSE : plan de sauvegarde de l'emploi",en_cours_procedure,Oui,,03/04/2017,In bonis,45420088200065,15,
750,"PSE : plan de sauvegarde de l'emploi",cloture,,,21/03/2014,Liquidation judiciaire (anciens delais),51413314900021,198,198
17910,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,30/06/2016,In bonis,80857822300022,0,
21178,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,20/10/2017,In bonis,34518442800018,76,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301200,25,24
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302307,75,75
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302141,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302075,4,4
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302414,4,4
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302463,5,5
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302174,2,2
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301499,3,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301689,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301515,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300020,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302034,3,3
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300137,2,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302455,4,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300152,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300608,4,1
